"id","judul_bab","file","textpreprocessing"
"11","Hadis Tentang Ilmu","3. Hadis Tentang Ilmu/2.txt","imam albukhari kata rasulullah shallallahu alaihi wassalam sabda barang siapa titi jalan tuntut ilmu allah mudah jalan tuju surga hr imam albukhari"
"12","Hadis Tentang Ilmu","3. Hadis Tentang Ilmu/3.txt","riwayat muawiyyah kata aku dengar nabi shallallahu alaihi wassalam sabda barang siapa allah hendak jadi baik allah paham hadap ilmu agama aku nabi hanya membagibagikan sedang allah beri senatiasa umat tegak atas perintah allah tidak akan celaka ada orangorang selisih hingga datang putus allah hr imam albukhari"
"13","Hadis Tentang Ilmu","3. Hadis Tentang Ilmu/4.txt","riwayat abdullah bin amru bin alash kata aku dengar rasulullah shallallahu alaihi wassalam sabda sungguh allah tidak cabut ilmu sekaligus hamba tetapi allah cabut ilmu cara wafat ulama hingga bila tidak sisa ulama dunia maka manusia angkat pimpin golong orangorang bodoh tanya fatwa ilmu mereka sesat sesat hr imam albukhari"
"14","Hadis Tentang Ilmu","3. Hadis Tentang Ilmu/5.txt","riwayat aisyah istri nabi shallallahu alaihi wassalam dengar tidak erti tanya nabi shallallahu alaihi wassalam erti nabi shallallahu alaihi wassalam pernah sabda siapa hisab arti dia siksa aisyah kata aku tanya kepada nabi bukankah allah taala firman kelak dia hisab hisab ringan aisyah kata makan nabi shallallahu alaihi wassalam sabda sungguh maksud adalah lihat amal akan tetapi barang siapa yang debat hisab dia celaka hr imam albukhari"
"15","Hadis Tentang Niat dan Keteguhan Hati","4. Hadis Tentang Niat dan Keteguhan Hati/1.txt","sabda nabi shallallahu alaihi wassalam segala itu gantung niat tidak niat orang lupa salah hr imam albukhari"
"16","Hadis Tentang Thaharah","5. Hadis Tentang Thaharah/1.txt","riwayat aisyah radhiallahu anha ia pernah cuci air mani pakai nabi shallallahu alaihi wassalam kemudian aku lihat bekas sisa cuci hr imam albukhari"
"17","Hadis Tentang Thaharah","5. Hadis Tentang Thaharah/2.txt","riwayat aisyah kata salah satu orang kami alami haid kemudian telah suci bekas darah sebut sih kemudian kain sebut cuci sih kemudian shalat guna kain sebut hr imam albukhari"
"18","Hadis Tentang Thaharah","5. Hadis Tentang Thaharah/3.txt","riwayat aisyah orang wanita anshar tanya nabi shallallahu alaihi wassalam bagaimana cara aku suci haid beliau lalu jawab ambi potong kapas beri wewangian lalu sih tiga kali kemudian nabi shallallahu alaihi wassalam rasa malu lalu maling muka beliau kata sih kapas lalu aku tarik wanita dan aku terang apa maksud nabi shallallahu alaihi wassalam hr imam albukhari"
"19","Hadis Tentang Thaharah","5. Hadis Tentang Thaharah/4.txt","riwayat maimunah ekor tikus jatuh minyak samin kemudian mati lantas nabi shallallahu alaihi wassalam tanya kena kemudian beliau sabda buang tikus itu dan yang sekitar lalu makan minyak samin sebut hr imam albukhari"
"20","Hadis Tentang Thaharah","5. Hadis Tentang Thaharah/5.txt","riwayat abu tsalabah radhiallahu anhu kata aku datang rasulullah shallallahu alaihi wassalam lalu aku kata beliau wahai rasulullah ada wilayah orangorang ahli kitab makan bejanabejana tinggal daerah suka buru lalu kami buru tombak anjing baik latih maupun latih kabar kami apa halal kami itu semua beliau lalu jawab bagaimana kamu sebut kamu tinggal wilayah ahli kitab makan bejana kalian dapat bejana lain jangan kalian makan bejanabejana jika tidak dapat cuci bejana sebut lalu makan dengan masalah kamu tinggal wilayah suka buru apa kamu hasil anak panah sebut nama allah lalu makan kemudian hewan buru tangkap anjingmuyang latih sebut nama allah lalu makan buru hasil anjing tidak latih kamu sempat sembelih maka makan hr imam albukhari"
"21","Hadis Tentang Thaharah","5. Hadis Tentang Thaharah/6.txt","riwayat abu qatadah nabi shallallahu alaihi wassalam beliau sabda salah orang kalian kencing jangan pegang malu tangan kanan jangan istinja tangan kanan jangan napas gelas minum hr imam albukhari"
"22","Hadis Tentang Thaharah","5. Hadis Tentang Thaharah/7.txt","riwayat ibnu abbas radhiallahu anhuma saudah istri nabi shallallahu alaihi wassalam kata ekor kambing mati kemudian samak kulit kami guna geriba minum hingga geriba usang hr imam albukhari"
"23","Hadis Tentang Thaharah","5. Hadis Tentang Thaharah/8.txt","riwayat abdullah bin abbas radhiallahu anhu rasulullah shallallahu alaihi wassalam pernah jalan lewat ekor kambing sudah jadi bangkai lalu beliau sabda kalian bersenangsenang kulit belum samak mereka jawab hanya bangkai kemudian beliau sabda sungguh haram jika kamu makan hr imam albukhari"
"24","Hadis Tentang Thaharah","5. Hadis Tentang Thaharah/9.txt","riwayat abu hurairah radhiallahu anhu rasulullah shallallahu alaihi wassalam sabda syaitan ikat tekuk kepala orang kalian tidur tiga tali ikat syaitan ikat demi rupa tiap ikat letak tempat lalu kata kamu lewat malam sangat panjang tidur nyenyak bangun ingat allah lepas satu tali ikat kemudian dia berwudhu lepas tali lain bila diri shalat lepas seluruh tali ikat pada pagi hari akan rasa semangat segar menentramkan jiwa bila dia laku itu pagi hari jiwa rasa tidak segar jadi malas aktivitas hr imam albukhari"
"25","Hadis Tentang Shalat","6. Hadis Tentang Shalat/1.txt","riwayat abdurrrahman bin abu shashaah alanshari almazini bapak abar kepada bahawa abu said alkhudri kata kepada aku lihat suka kambing senang mengembala kamu sedang mengembala kambing ada lembah lalu kamu kumandang azan shalat keras suara tidak yang dengar suara muazi baik manusia jin apa dia akan jadi saksi kelak hari kiamat abu said kata aku dengar rasulullah shallallahu alaihi wassalam hr imam albukari"
"26","Hadis Tentang Shalat","6. Hadis Tentang Shalat/2.txt","riwayat ubadah bin tamim paman ada orang adu ragu rasulullah shallallahu alaihi wassalam seakanakan dapat ketika laksana shalat beliau lalu sabda jangan kamu pindah pergi hingga kamu dengar suara cium bau hr imam albukhari"
"27","Hadis Tentang Shalat","6. Hadis Tentang Shalat/3.txt","riwayat aisyah rasulullah shallallahu alaihi wassalam sabda salah orang kalian antuk shalat hendak tidur hingga hilang kantuk bila shalat ada antuk tidak sadar mungkin maksud beristighfar padahal jadi caci diri hr imam albukhari"
"28","Hadis Tentang Shalat","6. Hadis Tentang Shalat/4.txt","riwayat jabir bin abdullah abu said shalat perahu diri kata hasan shalatlah diri itu repot temanteman sekitar jka bisa shalatlah duduk hr imam albukhari"
"29","Hadis Tentang Shalat","6. Hadis Tentang Shalat/5.txt","riwayat kaab bin malik apabila nabi shallallahu alaihi wassalam tiba pergi beliau pasuk masjid lalu shalat dalam shalat sunnah rakaat tiba pergi hr imam albukhari"
"30","Hadis Tentang Shalat","6. Hadis Tentang Shalat/6.txt","riwayat abu hurairah kata rasulullah sama sedang melaksankan shalat ada waktu malam ibnu sirin kata abu hurairah sebut nama shalat sebut aku lupa abu hurairah kata beliau shalat sama dua rakaat kemudian salam kemudian beliau datang kayu geletak mesjid beliau lalu baring kayu sebut sedang marah letak lengan kanan atas lengan kiri anyam jari jemari pipi kanan letak punggung telapak tangan kiri kemudian kata shalat diqashar ringkas padahal tengahtengah orang banyak sebut abu bakar umar dua enggan bicara di tengah kerumun sebut orang tangan panjang panggil nama dzul yadain kata wahai rasulullah tuan lupa shalat diqashar beliau tanya benar kata dzul yadain orangorang jawab benar beliau kemudian salam itu beliau takbir sujud sujud laku lebih lama kemudian angkat kepala takbir jadi orangorang tanya kepada ibnu sirin dalam hadis lafal kemudian beliau salam lalu kata aku dapat berita imran bin hushain kata kemudian beliau salam hr imam albukhari"
"31","Hadis Tentang Shalat","6. Hadis Tentang Shalat/7.txt","riwayat abu said kata aku pernah dengar nabi shallallahu alaihi wassalam sabda orang kalian shalat hadap beri batas orang seperti pakai sajadah kemudian orang yang hendak lewat hadap hendak cegah bangkang perang karena dia adalah syaitan hr imam albukhari"
"32","Hadis Tentang Shalat","6. Hadis Tentang Shalat/8.txt","riwayat hudzaifah kata sabda rasulullah shallallahu alaihi wassalam fitnah orang keluarga harta anak tetangga hapus amal shalat puasa sedekah laksana kebaji tolak mungkar hr imam albukhari"
"33","Hadis Tentang Shalat","6. Hadis Tentang Shalat/9.txt","riwayat abu hurairah rasulullah shallallahu alaihi wassalam sabda malaikat malam malaikat siang silih ganti datang kalian kumpul shalat subuh asar kemudian malaikat jaga kalian naik atas allah taala tanya dia zat lebih tahu ada hamba ada bagaimana kalian tinggal hambahambaku para malaikat jawab tinggal dalam ada sedang laksana shalat juga kami datang mereka mereka sedang laksana shalat hr imam albukhari"
"34","Hadis Tentang Shalat","6. Hadis Tentang Shalat/10.txt","riwayat anas bin malik nabi shallallahu alaihi wassalam beliau sabda barang siapa lupa laksana shalat segera laksana dia ingat tidak tebus itu dalam firman tegak shalat ingat hr imam albukhari"
"35","Hadis Tentang Shalat","6. Hadis Tentang Shalat/11.txt","riwayat abu hurairah rasulullah shallallahu alaihi wassalam sabda anda manusia tahu utama dapat azan shaf awal laksana dengan cara undi anda tahu utama dapat segera laksana shalat mereka berlombalomba anda mereka tahu utama yang dapat shalat isya subuh mereka akan datang walaupun dengan rangkak hr imam albukhari"
"36","Hadis Tentang Shalat","6. Hadis Tentang Shalat/12.txt","riwayat abu qatadah kata sedang laksana shalat sama nabi shallallahu alaihi wassalam beliau dengar suara gaduh orangorang telah selesai beliau tanya apa kalian jawab kami tergesagesa ikut shalat beliau sabda jangan kalian buat itu kalian ikut shalat ikut tenang apa kalian dapat shalat ikut apa tinggal sempurna hr imam albukhari"
"37","Hadis Tentang Shalat","6. Hadis Tentang Shalat/13.txt","riwayat abu qatadah lata rasulullah shallallahu alaihi wassalam sabda ikamah kumandang jangan kalian diri hingga kalian lihat aku diri hendak kalian melaukukannya tenang wibawa hr imam albukhari"
"38","Hadis Tentang Shalat","6. Hadis Tentang Shalat/14.txt","riwayat abu hurairah kata suatu hari ikamah kumandang orangorang rapi hafshaf kemudian rasulullah shallallahu alaihi wassalam maju depan pimpin shalat padahal waktu beliau sedang junub beliau kata tetap tempat kalian beliau kembali rumah mandi datang kami ada kepala basah kemudian beliau shalat sama hr imam albukhari"
"39","Hadis Tentang Shalat","6. Hadis Tentang Shalat/15.txt","riwayat aisyah nabi shallallahu alaihi wassalam sabda apa bila makan hidang ikamah shalat jamaah kumandang dahulu makan hr imam albukhari"
"40","Hadis Tentang Shalat","6. Hadis Tentang Shalat/16.txt","riwayat zaid bin tasbit rasulullah shallallahu alaihi wassalam buat suatu ruang busr bin said kata aku ira zaid bin tsabit kata buat tikar bulan ramadhan lalu beliau laksana shalat malam kamar tikar sebut beberapa malam kemudian sahabat ikut shalat beliau beliau tahu apa laku beliau diam rumah kemudian beliau keluar temu mereka dan kata sungguh aku tahu apa kalian laku wahai manusia shalatlah kalian rumahrumah kalian sungguh shalat paling utama shalatnya orang laku rumah shalat fardhu hr imam albukhari"
"41","Hadis Tentang Shalat","6. Hadis Tentang Shalat/17.txt","riwayat abu bakrah pernah hendak ikut shalat jamaah sama nabi shallallahu alaihi wassalam telat posisi nabi sedang rukuk dia ikut rukuk sampai dalam baris shalat shaf kemudian selesai shalat dia cerita jadi sebut nabi shallallahu alaihi wassalam lalu nabi shallallahu alaihi wassalam sabda moga allah tambah semangat kepada jangan engkau ulang buat sebut hr imam albukhari"
"42","Hadis Tentang Shalat","6. Hadis Tentang Shalat/18.txt","riwayat abu hurairah nabi shallallahu alaihi wassalam masuk dalam masjid kemudian datang orang lakilaki masuk dalam masjid shalat kemudian orang datang beri salam nabi shallallahu alaihi wassalam lalu nabi shallallahu alaihi wassalam jawab salam kemudian sabda ulang shalatmu kamu shalat orang kemudian ulang shalatnya hadap nabi shallallahu alaihi wassalam beri salam beliau kembali bersabdaulangilah shalatmu kamu shalat beliau perintah orang tiga kali kemudian kata zat utus tuan benar aku bisa laku lebih baik telah aku laku ajar aku belia sabda kamu kerja shalat takbir lalu baca beberapa ayatsurat yang mudah alquran kemudian rukukklah hingga benarbenar rukuk tenang lalu bangkit rukuk hingga kamu diri tegak kemudian sujud benarbenar sujud lalu angkat kepala duduk hingga benarbenar duduk itu sujud sampai benarbenar sujud kemudian laku cara sebut seluruh shalat rakaat hr imam albukhari"
"43","Hadis Tentang Shalat","6. Hadis Tentang Shalat/19.txt","riwayat abu bakar ashshiddiq radliallahu anhu kata rasulullah shallallahu alaihi wassalam ajar aku suatu doa bisa aku amal aku shalat akhir shalat tasyahud akhir beliau jawab baca allahumma innii zhalamtu nafsi zhulman katsiiran wa laa yaghfirudz dzunuuba illaa anta faghfirlii maghfiratan min indika warhamnii innaka antal ghafuurur rahim allah sungguh aku zalim diri sendiri zalim banyak tidak sesuatu apa yang ampun dosadosa engkau ampun dosadosaku suatu ampun dari sisi rahmat aku sungguh engkau maha kam maha nyanyang hr imam albukhari"
"44","Hadis Tentang Shalat","6. Hadis Tentang Shalat/20.txt","riwayat anas bin malik kata pada hari jumat udara asa sejuk nabi shallallahu alaihi wassalam segera laksana shalat jumat bila udara asa panas beliau akhir laksana shalat jumat hr imam albukhari"
"45","Hadis Tentang Shalat","6. Hadis Tentang Shalat/21.txt","riwayat jabir bin abdullah kata datang orang lakilaki nabi shallallahu alaihi wassalam sedang beri khotbah hadap banyak orang hari jumat lalu beliau tanya wahai fulan kamu shalat orang jawab maka beliau sabda bangun kerja shalatlah rakaat hr imam albukhari"
"46","Hadis Tentang Shalat","6. Hadis Tentang Shalat/22.txt","riwayat abdullah bin umar rasulullah shallallahu alaihi wassalam biasa laksana shalat sunnah rakaat zuhur shalat rakaat sudah shalat rakaat maghrib shalat rakaat isya rumah beliau tidak kerja shalat shalat jumat hingga beliau pulang lalu beliau shalat rakaat hr imam albukhari"
"47","Hadis Tentang Shalat","6. Hadis Tentang Shalat/23.txt","riwayat ibnu umar kata nabi shallallahu alaihi wassalam sabda beliau kembali perang ahzab jangan sekalikali antara kalian laksana shalat asar di kampung bani quraizhah lalu talah waktu shalat dalam jalan bagi mereka kata laksana shalat telah tuju bagi kata kami akan laksana shalat beliau tidak maksud maka jadi sebut cerita nabi shallallahu alaihi wassalam beliau tidak cela orang dari mereka hr imam albukhari"
"48","Hadis Tentang Shalat","6. Hadis Tentang Shalat/24.txt","riwayat anas kata hari raya idul fitri rasulullah shallallahu alaihi wassalam berangkat masjid laksana shalat hingga beliau makan beberapa buah kurma anas lalu jalur tsan kata beliau makan beberapa kurma bilang ganjil hr imam albukhari"
"49","Hadis Tentang Shalat","6. Hadis Tentang Shalat/25.txt","riwayat ibnu umar kata nabi shallallahu alaihi wassalam kondisi jalan beliau kerja shalat atas tunggang mana hewan hadap beliau laksana isyarat shalat fardhu beliau kerja shalat witir atas tunggang hr imam albukhari"
"50","Hadis Tentang Shalat","6. Hadis Tentang Shalat/26.txt","riwayat raib ummu salamah tanya rakaat asar ummu salamah kata aku dengar nabi shallallahu alaihi wassalam pernah larang kerja di kemudian hari aku lihat beliau kerja beliau kerja shalat asar itu beliau temu pada itu aku sama beberapa wanita suku bani haram kalang kaum ansar aku utus orang budak wanita aku tanya kepada pergi temu beliau sampai kepada ummu salamah tanya wahai rasulullah shallallahu alaihi wassalam aku dengar pernah larang shalat rakaat asar aku lihat kerja beliau beri isyarat tangan tunggu budak sebut laksana nyata beliau beri isyarat tangan budak tunggu beliau selesai beliau kata wahai binti abu umayyah kamu tanya dua rakaat shalat asar sungguh aku datang rombong orang suku abdul qais sebab aku halang kerja shalat sunnah dua rakaat zuhur yang aku kerja shalat asar hr imam albukhari"
"51","Hadis Tentang Shalat","6. Hadis Tentang Shalat/27.txt","riwayat abdullah kata aku pernah lihat rasulullah shallallahu alaihi wassalam shalat tepat waktu dua shalat yaitu beliau jamak shalat maghrib isya laksana shalat fajar waktu jelas waktu umum manusia demikian laku haji hr imam albukhari"
"52","Hadis Tentang Shalat","6. Hadis Tentang Shalat/28.txt","riwayat ibnu umar radliallahu anhuma kata rasulullah shallallahu alaihi wassalam sabda alis bagi lingkar luar matahari mulai terbit jangan kalian shalat hingga terang selesai masa terbit jika alis matahari mulai benam jangan kalian shalat hingga benarbenar hilang benam jangan kalian tunggu shalat terbit matahari saat benam saat itu terbit dua tanduk syaitan hr imam albukhari"
"53","Hadis Tentang Shalat","6. Hadis Tentang Shalat/29.txt","riwayat aisyah radlialallahu anha kata aku tanya nabi shallallahu alaihi wassalam orang toleh sedang shalat beliau sabda adalah gambar sangat cepat laku syaitan shalatnya salah orang anatar kalianhr imam albukhari"
"54","Hadis Tentang Shalat","6. Hadis Tentang Shalat/30.txt","riwayat abu juhaifah radliallahu anhu kata aku lihat bilal datang bawa tongkat ujung runcing tancap tongkat sebut kemudian kumandang ikamah itu lihat rasulullah shallallahu alaihi wassalam keluar rumah singsing pakai lalu beliau shalat rakaat hadap tongkat sebut saya lihat orangorang binatang lewat hadap beliau belakang tongkat sebut hr imam albukhari"
"55","Hadis Tentang Shalat","6. Hadis Tentang Shalat/31.txt","riwayat abu hurairah rasulullah shallallahu alaihi wassalam sabda imam ucap samiallahu liman hamidah moga allah dengar puji orang puji jawab allahumma rabbanaa lakal hamdu wahai tuhan bagi lah segala puji sungguh barang siapa ucap sama ucap malaikat dosa telah lalu ampun hr imam albukhari"
"56","Hadis Tentang Shalat","6. Hadis Tentang Shalat/32.txt","riwayat anas bin malik kata aku pernah shalat belakang orang imam lebih ringan lebih sempurna shalatnya nabi shallallahu alaihi wassalam beliau dengar tangis bayi beliau ringan shalatnya khawatir ibu kena fitnah hr imam albukhari"
"57","Hadis Tentang Shalat","6. Hadis Tentang Shalat/33.txt","riwayat abu hurairah orangorang tanya wahai rasulullah lihat tuhan kita hari kiamat beliau jawab kalian ban kalian lihat bulan malam purnama bila awan halang jawab wahai rasulullah kemudian beliau tanya kalian ban kalian lihat matahari bila awan mengahalanginya jawab beliau kemudian sabda sungguh kalian dapat lihat kelak seluruh manusia kumpul hari kiamat lalu allah swt firman barang siapa sembah ikut dengan sembah matahari ada sembah bulan antara ada pula sembah syaitansyaitan tinggal umat antara dapat munafik allah datang lalu firman aku tuhan kalian kata ini tempat duduk hingga datang tuhan apa bila tuhan datang kami kenal allah datang firman aku tuhan kalian kemudian allah panggil lalu bentang ashshirath atas neraka jahannam aku orang pertama hasil lewat antara rasul sama umat pada hari ada orang dapat bicara rasul adapun ucap para rasul allah selamat selamat neraka jahannam dapat besi ujung bengkok duri sad tumbuh dur tajam rasul tanya pernah kalian lihat duri sad jawab pernah beliau lanjut sungguh seperti duri sad ada orang tahu ukur besar duri sebut allah duri sebut menusuknusuk manusia dasar amalamal buat antara ada dikoyakkoyak hingga hancur tubuh sebab amal ada juga dipotongpotong kemudian selamat lewat apabila allah hendak beri rahmat huni neraka allah perintah malaikat keluar siapa saja pernah sembah allah para malaikat keluar kenal dasar tanda bekasbekas sujud atsurus sujud allah haram neraka bakar bekasbekas sujud kemudian keluar neraka anak turun adam akan bakar neraka mereka milik bekasbekas sujud mereka keluar dalam ada hangus bakar gosong kemudian mereka siram air hidup jadi mereka tumbuh bagai tumbuh benih tepi alir sungai selesai allah putus perkara antara hambahambanya tinggal hanya orang ada antara surga neraka adalah orang akhir pasuk surga antara huni neraka hak masuk sedang hadap wajah neraka kata wahai tuhan jauh wajah neraka sungguh angin neraka racun bara api panggang kemudian allah firman anda kamu beri sempat lain kamu akan minta lain orang jawab demi mulia ya allah allah beri kepada janji ikat perjanjia sesuai apa ingin orang sebut kemudian allah jauh wajah orang sebut neraka wajah hadap arah surga lihat tamantaman indah surga lalu diam takjub sesuai apa allah hendak kemudian orang kata wahai tuhan dekat aku pintu surga allah azza wajalla firman bukankah kamu janji tuju minta minta kamu belum orang jawab wahai tuhan aku ingin jadi cipataanmu paling celaka allah tanya apakah apabila kamu kabul minta sekarang nanti kamu akan minta lain orang jawab tidak demi mulia aku tidak akan minta lain tuhan beri janji kepada ikat sesuai apa hendak orang sebut lalu orang sebut dekat pintu surga tatkala orang sudah di depan pintu surga rasa sangat gembira lihat indah surga tamantaman di dalam hijau orang diam tegun sesuai apa yang allah hendak kemudian orang kata wahai tuhan masuk aku dalam surga allah firman celaka kamu sikap yang ingkar janji bukankah kamu janji ikat janji tidak minta telah kamu kabul apa yang kamu minta orang berkatawahai tuhan jangan engkau jadi aku cipataanmu yang paling celaka maka allah azza wajalla tertawa meridhai dengar lalu allah izin orang itu pasuk surga kemudian allah azza wajalla firman bayang lalu orang itu bayang telah selesai apa yang ia bayang allah firman kepada sini demikian tuhan ingat orang sebut hingga manakala orang sebut selesai bayang allah firman ini semua kamu dan yang rupa dengan dari abu said kata sungguh aku telah dengar beliau sebut ini semua untuk dan puluh macam yang rupa dengan hr imam albukhari"
